Teff,logg,[Fe/H],GALEX_FUV,GALEX_NUV,STROMGREN_u,SkyMapper_u,SDSS_u,GROUND_JOHNSON_U,SkyMapper_v,STROMGREN_v,TYCHO_B_MvB,GROUND_JOHNSON_B,STROMGREN_b,SDSS_g,PS1_g,SkyMapper_g,GaiaDR2v2_BP,TYCHO_V_MvB,STROMGREN_y,GROUND_JOHNSON_V,SkyMapper_r,SDSS_r,PS1_r,PS1_w,KEPLER_Kp,GaiaDR2v2_G,GROUND_COUSINS_R,NGTS_I,SDSS_i,PS1_i,SkyMapper_i,GaiaDR2v2_RP,GROUND_COUSINS_I,TESS,PS1_z,SDSS_z,SkyMapper_z,PS1_y,2MASS_J,2MASS_H,2MASS_Ks,WISE_RSR_W1,SPITZER_IRAC_36,SPITZER_IRAC_45,WISE_RSR_W2
5000.0,9.0,0.0,1082464.1403979438,293089637.9944916,10519493919.15824,11581994933.275827,13140675507.095476,15233550904.11835,19655445042.272102,26489673110.93052,28734154119.284454,30598896950.682045,37369533671.11499,36345398036.52738,37810892576.73603,39126691872.60558,37821027675.082375,40683757698.89037,41614518756.26104,41218420879.67532,40356264916.987274,40496115126.06968,40326671509.52982,37596257697.329155,37557438804.090065,35749824312.45159,38990369772.66517,36461968165.10199,34839807562.73229,34596551337.52938,33364994441.5661,32227188953.885643,32718443208.07147,32265550127.570904,28615815330.446888,27261766277.067234,26304564470.36264,24033719234.52825,14416271227.878256,7394258224.093327,3130193033.1585793,286668171.5860099,171732286.3682403,73842494.19125088,66507332.59331578
5000.0,9.25,0.0,982631.9461197184,268186856.9060837,10162486515.628298,11204461278.31514,12745316670.05391,14813805729.273579,19187861041.06153,26068793599.74592,28395616571.22544,30330078677.54612,37292416396.490105,36246899982.50593,37765757316.81383,39138074900.8331,37836480293.41011,40771318753.23331,41731632880.539734,41329908618.46698,40507938286.59078,40657403680.166565,40484352168.693306,37693247359.04907,37658546406.24251,35837084035.58567,39141821034.11446,36596165070.07848,34966875196.84134,34722420222.71786,33484888958.80025,32346308475.15949,32835172471.440754,32382803602.46316,28711037481.1099,27350089821.374355,26387982489.83976,24105582790.476448,14440464926.757273,7379388914.550324,3126169612.351668,286622922.6582168,171732262.4172298,73842494.19125088,66507332.59331578
5000.0,9.5,0.0,877235.5209123492,244036283.85456395,9837034985.674421,10861937872.68185,12380412787.849585,14422251908.264757,18752597936.616398,25651467856.543846,28052291996.101833,30048381191.668602,37192681794.968025,36133946498.02933,37706726248.753654,39137856624.23367,37842227544.669624,40851367414.1895,41845368064.097244,41437946170.02712,40661616507.05916,40820251377.1346,40644368962.38912,37790219582.60537,37758804928.01642,35925170400.58534,39297408128.60711,36730165591.17765,35100817091.99222,34854887066.4999,33610930827.857838,32470048648.495655,32957813682.34384,32504914345.790478,28811297331.750565,27443010917.415203,26475708350.352383,24181017834.98834,14464152153.601841,7359729916.250777,3120494439.944499,286535980.27413267,171732211.89262244,73842494.19125088,66507332.59331578
5250.0,6.5,0.0,3544043.37602949,1371940490.2854056,27221508451.111378,28594536761.45246,30407346874.362446,32918012376.969624,37922442311.905975,43442775937.858795,44619169454.58446,45678162539.832565,50083827705.10448,49205842358.641495,49963945557.61045,50371522723.99991,48629822802.92733,50887587965.61739,51438097157.53755,50992590223.5173,48402883001.99158,48377638985.50166,48175220564.93942,45555591129.12061,45443769074.78558,43185656361.89267,46168461857.740875,42899691487.83699,40238329115.87798,39924083179.161385,38333731238.24577,37008583486.78471,37505043895.244514,37219457231.112724,32412861791.775887,30796474892.147453,29642928436.065292,26962917689.159023,16086254610.149775,8213445813.452595,3413712725.077161,307709310.01995826,184356051.02606496,78872159.16587844,71002822.68058535
5250.0,6.75,0.0,3603040.095984739,1241604610.8917637,26326851454.41369,27760246046.227776,29651657541.523365,32258953932.413532,37464189415.31051,43270542301.386086,44505059922.281425,45622348702.19236,50222474902.43924,49321348803.25298,50123398953.12343,50574003472.49224,48793942304.01473,51133386670.57431,51714123872.097885,51260502890.074875,48655334129.1187,48647926500.18139,48461318282.783714,45728553390.54627,45675854958.33933,43394550167.628975,46430305176.36499,43137962200.79292,40462248314.7746,40140893032.24184,38556704476.575134,37211631455.8775,37716374248.34137,37423267607.064,32590706424.06185,30957538071.362873,29796767427.37185,27095325388.960827,16089101712.997656,8195682628.244831,3405547832.237446,307654513.83789146,184356023.6571353,78872159.16587844,71002822.68058535
5250.0,7.0,0.0,3650265.696648892,1142167418.8931158,25355165231.282516,26824183884.476784,28781352059.44901,31472047468.028564,36869151910.22283,43011748341.995926,44328007080.86098,45506989034.11423,50363702022.62044,49418112948.04555,50269585404.6493,50767031095.21878,48945493179.77064,51376042338.92445,51981540331.31886,51521204271.24095,48912243212.66033,48900964722.74136,48717886884.697815,45947365271.45838,45899979112.17975,43592543096.667816,46680449934.80334,43370172261.154045,40695553948.57907,40366879170.99894,38771470360.78935,37408784897.24435,37925126017.26198,37621409972.96839,32761007586.284992,31115061841.753517,29945402490.158916,27209023803.94078,16168766861.281729,8179785701.923711,3403051982.5648403,307641677.9952367,184356021.7726805,78872159.16587844,71002822.68058535
5250.0,7.25,0.0,3680890.7620909517,1062013926.3846208,24305913724.96773,25813844092.867043,27840248539.133774,30608378111.126286,36197518382.834015,42697627873.9216,44107622203.395584,45351838035.383705,50508111832.19094,49507688446.28453,50412698509.53023,50958004679.675995,49066494079.98749,51616865874.6177,52242868244.930466,51776150993.67796,49156727968.61952,49144245001.195,48959387844.284096,46158679753.4995,46112292588.12136,43776125562.69229,46915860602.13917,43589266132.99692,40899562529.373985,40573894149.410324,38967679461.840454,37589621123.126495,38115510812.54982,37804155007.57969,32915371081.14379,31257988333.91934,30086506520.401882,27324785108.68026,16138774593.111034,8171481745.775544,3403212348.266026,307670533.10021454,184356044.57909968,78872159.16587844,71002822.68058535
5250.0,7.5,0.0,3690879.4960068087,992264508.7820554,23296874270.872383,24830464280.58805,26912410818.3363,29741293269.00209,35489614122.642334,42343922871.425804,43858630518.852135,45181388115.95582,50640326950.42366,49580878689.69704,50541122963.67623,51135062932.2719,49187564147.111496,51846663160.790886,52489342181.79368,52016724973.41005,49373095018.4873,49368982889.95162,49167715825.796814,46348213271.895996,46309086275.7742,43943434641.211266,47134523691.4153,43788852176.74505,41094644736.91919,40773054114.831276,39146421598.60838,37755777387.15989,38290417505.93933,37970873720.40982,33050837069.46774,31387165707.1444,30209684382.44408,27429027961.860474,16174495555.307163,8173565824.491354,3402711343.9531326,307721277.33304834,184356080.36780968,78872159.16587844,71002822.68058535
5250.0,7.75,0.0,3677790.529543781,930432915.475925,22366724730.02176,23917191270.30383,26038288359.573303,28912015887.43367,34775806782.08828,41958177074.9446,43583141408.5919,44984812812.21415,50750639775.858185,49632751320.24691,50648957846.674126,51291817440.95506,49283866646.87663,52058945702.52336,52715082930.52697,52237163159.64927,49603592347.63861,49582259396.99907,49379779195.54397,46528697976.916664,46488450580.71416,44093935009.83277,47336202482.5512,43969187733.33741,41271548912.90829,40941952502.46099,39305888234.71653,37905945496.00038,38444921879.73199,38122316419.90822,33175304692.568512,31502377995.802483,30318349152.08287,27522167515.689217,16201030868.389713,8171681798.230476,3402897727.417737,307782179.86930865,184356122.27581158,78872159.16587844,71002822.68058535
5250.0,8.0,0.0,3640175.06508052,875548736.3550023,21531009841.151062,23085768930.333492,25228992923.029854,28129153857.274597,34078225040.871117,41548327934.81476,43286243805.885666,44771749167.488075,50835305460.39803,49661837494.107956,50734471907.79032,51426983058.15548,49368538755.861046,52253123178.79179,52921059798.26393,52438276379.584206,49798270696.86636,49789193856.66237,49600496796.713585,46669763875.89656,46653848996.970055,44231749914.26093,47527408586.25875,44140591872.19883,41416980471.36663,41085716511.401505,39451468476.05121,38045811498.13757,38584271301.63491,38264009048.02382,33293084540.45426,31607363323.23398,30416044936.35126,27607006271.058163,16192971780.145231,8172526695.120383,3403075307.258101,307843055.6030375,184356163.99090892,78872159.16587844,71002822.68058535
