# Teff	logg	[Fe/H]	GALEX_FUV	GALEX_NUV	STROMGREN_u	SkyMapper_u	SDSS_u	GROUND_JOHNSON_U	SkyMapper_v	STROMGREN_v	TYCHO_B_MvB	GROUND_JOHNSON_B	STROMGREN_b	SDSS_g	PS1_g	SkyMapper_g	GaiaDR2v2_BP	TYCHO_V_MvB	STROMGREN_y	GROUND_JOHNSON_V	SkyMapper_r	SDSS_r	PS1_r	PS1_w	KEPLER_Kp	GaiaDR2v2_G	GROUND_COUSINS_R	NGTS_I	SDSS_i	PS1_i	SkyMapper_i	GaiaDR2v2_RP	GROUND_COUSINS_I	TESS	PS1_z	SDSS_z	SkyMapper_z	PS1_y	2MASS_J	2MASS_H	2MASS_Ks	WISE_RSR_W1	SPITZER_IRAC_36	SPITZER_IRAC_45	WISE_RSR_W2	WISE_RSR_W3	WISE_RSR_W4
2.200000000000000000e+04	4.750000000000000000e+00	0.000000000000000000e+00	7.521856853417082812e+13	2.523183020143618359e+13	7.471700575389408203e+12	7.229500788669106445e+12	7.044732437047600586e+12	6.779363673627182617e+12	6.364277741367977539e+12	6.012040469257182617e+12	5.501411801448432617e+12	5.116068849599127930e+12	4.075488321583374023e+12	4.044202676723961914e+12	3.666072912877058105e+12	3.182774466407671387e+12	2.984753176343505859e+12	2.628488456097605957e+12	2.329813531028551270e+12	2.355489710039145020e+12	1.603921141114572754e+12	1.537540048229549561e+12	1.527573009279235352e+12	1.748083691341904541e+12	1.740271071332765625e+12	1.627663835164414307e+12	1.303918423949199707e+12	1.136090386267298584e+12	7.669807423065462646e+11	7.503490743128580322e+11	6.727087983374593506e+11	6.676341136098116455e+11	6.340902282108532715e+11	7.310509742498199463e+11	4.494255616374854126e+11	4.092988880359146118e+11	3.798450043797261963e+11	3.159938714343571167e+11	1.264467852611589508e+11	4.268116356836904907e+10	1.504733645867482185e+10	2.669486643330938339e+09	2.157809429231157780e+09	8.303779616780228615e+08	7.455865731251804829e+08	1.881660931132284179e+07	1.402842875246289885e+06
2.200000000000000000e+04	5.000000000000000000e+00	0.000000000000000000e+00	7.570939244523382812e+13	2.528868698162110156e+13	7.481041825342969727e+12	7.233604980756914062e+12	7.029502922566092773e+12	6.748160148666751953e+12	6.293296883925411133e+12	5.986909253009607422e+12	5.478221177603264648e+12	5.098092300792676758e+12	4.085681341844091797e+12	4.043350859708442871e+12	3.668533223649782227e+12	3.186932106475276855e+12	2.985021815253126465e+12	2.632739212441079590e+12	2.336072953286273926e+12	2.361371008773783203e+12	1.607132773125897217e+12	1.540228294157829346e+12	1.530382564308293213e+12	1.750290549914018066e+12	1.742922423920878906e+12	1.628913686973788574e+12	1.306279770114427246e+12	1.138268615009460449e+12	7.683861446430228271e+11	7.517127307664407959e+11	6.738139427794931641e+11	6.682258614115690918e+11	6.350883896355114746e+11	7.318687432078284912e+11	4.494178397190048828e+11	4.091674327572411499e+11	3.795812367368978882e+11	3.155194461299286499e+11	1.264865788477794037e+11	4.265478227568033600e+10	1.503398546415080833e+10	2.666226798330396652e+09	2.155174420859963417e+09	8.293639513870062828e+08	7.446761030281018019e+08	1.879363139154675975e+07	1.401129803018584382e+06
2.200000000000000000e+04	5.250000000000000000e+00	0.000000000000000000e+00	7.651161417225442188e+13	2.541019333591101562e+13	7.503251093360445312e+12	7.250910149420366211e+12	7.027259638758062500e+12	6.728024569108193359e+12	6.229637975204003906e+12	5.960971016728359375e+12	5.456221976415574219e+12	5.081660237785941406e+12	4.097869123778240723e+12	4.043472115418245605e+12	3.672154539483495605e+12	3.192361806892115723e+12	2.986629113335863281e+12	2.638185959089112305e+12	2.343689017216562500e+12	2.368568902261230957e+12	1.611288872510858154e+12	1.543804771773451660e+12	1.534088002748900146e+12	1.753337877483974121e+12	1.746469703885814697e+12	1.630979309493661865e+12	1.309445071008519043e+12	1.141194224918107910e+12	7.703657549037340088e+11	7.536400481778107910e+11	6.754496310469543457e+11	6.693064701691756592e+11	6.365947920892023926e+11	7.331995234239256592e+11	4.498779339071790771e+11	4.094273561616213379e+11	3.796719183757448120e+11	3.152055725951358032e+11	1.266192423656167145e+11	4.266671729213904572e+10	1.503160936870251465e+10	2.665175615690094948e+09	2.154324717958673477e+09	8.290369749284311533e+08	7.443825117238034010e+08	1.878622191983020306e+07	1.400577383123541251e+06
2.200000000000000000e+04	5.500000000000000000e+00	0.000000000000000000e+00	7.732284454238904688e+13	2.552940389877180469e+13	7.531826474314068359e+12	7.275276344122315430e+12	7.032416873740675781e+12	6.713783997829466797e+12	6.168736683974113281e+12	5.926856036550693359e+12	5.429553580350599609e+12	5.061475953654997070e+12	4.107853123731393555e+12	4.040391224252135742e+12	3.673290710410056152e+12	3.196108771616253906e+12	2.986909230970764648e+12	2.642673856263983887e+12	2.350905099605064453e+12	2.375270728506393555e+12	1.615419622479859619e+12	1.547385222765497803e+12	1.537808023534333008e+12	1.755931963883774658e+12	1.749646043438804932e+12	1.632665689712545410e+12	1.312735076515655029e+12	1.144278757639107422e+12	7.726885160224119873e+11	7.559107143872302246e+11	6.774374487546068115e+11	6.706809645353322754e+11	6.384519817817325439e+11	7.347837690815202637e+11	4.507348037361680908e+11	4.100141793794278564e+11	3.800637687578729248e+11	3.150181678674234619e+11	1.268318965275762939e+11	4.271660872558835602e+10	1.504040976159692574e+10	2.666494970204032421e+09	2.155391192815507412e+09	8.294473836918531656e+08	7.447510154352390766e+08	1.879552160807698965e+07	1.401270716405401705e+06
2.200000000000000000e+04	5.750000000000000000e+00	0.000000000000000000e+00	7.827187574973223438e+13	2.567962801741495703e+13	7.562138202183875977e+12	7.302080841151867188e+12	7.041400239266799805e+12	6.703194427040082031e+12	6.111621404783825195e+12	5.888390718412765625e+12	5.401348629353462891e+12	5.040272804042407227e+12	4.118099638950125000e+12	4.036199631479458496e+12	3.673651121592395508e+12	3.199408522824619629e+12	2.986649423787038574e+12	2.646797458222190918e+12	2.358061634964048828e+12	2.381868975782420898e+12	1.619304144787152344e+12	1.550662192192866211e+12	1.541248775967288330e+12	1.758220805826889648e+12	1.752595333632371338e+12	1.634094818242997070e+12	1.315793693900008545e+12	1.147251314124947510e+12	7.749470492775963135e+11	7.581231013512355957e+11	6.794028561585260010e+11	6.720082693929797363e+11	6.403016454127048340e+11	7.363064594354736328e+11	4.517416510960164795e+11	4.107111964981500244e+11	3.805641948537306519e+11	3.148331632456931763e+11	1.270669988630865326e+11	4.279543040408281708e+10	1.505880140984882927e+10	2.670005435880955219e+09	2.158228787381143093e+09	8.305393249241706133e+08	7.457314520190557241e+08	1.882026582401864603e+07	1.403115472196730319e+06
2.200000000000000000e+04	6.000000000000000000e+00	0.000000000000000000e+00	7.937414477020914062e+13	2.586800931100926953e+13	7.592979711857232422e+12	7.329878324866579102e+12	7.053096993157201172e+12	6.695571656456692383e+12	6.058782001832119141e+12	5.846476495034198242e+12	5.372651072785322266e+12	5.019033085400296875e+12	4.129728534432274414e+12	4.031835220244973145e+12	3.674111424663824707e+12	3.203059794236432617e+12	2.986432933803172363e+12	2.651232566445804688e+12	2.365852793389487793e+12	2.389028008922113281e+12	1.623226561706437256e+12	1.553878326797066895e+12	1.544651388866760742e+12	1.760459315605419189e+12	1.755598808216103516e+12	1.635471854841610107e+12	1.318754337434211426e+12	1.150179905675899170e+12	7.770212321484936523e+11	7.601506632213961182e+11	6.811911075159906006e+11	6.731634220048638916e+11	6.419770396324011230e+11	7.376963756636475830e+11	4.527135857797979736e+11	4.113606988407587891e+11	3.810307913031876831e+11	3.145788823943667603e+11	1.272615396196981659e+11	4.288156141948682404e+10	1.508113012679078865e+10	2.674842170483671665e+09	2.162138417552068710e+09	8.320438887633246183e+08	7.470823827984266281e+08	1.885435934380652383e+07	1.405657269642681116e+06
2.200000000000000000e+04	6.250000000000000000e+00	0.000000000000000000e+00	8.062152867497206250e+13	2.609752408589905859e+13	7.627092110567270508e+12	7.361104436593219727e+12	7.069792861928809570e+12	6.693095765121201172e+12	6.012214354749473633e+12	5.801705303319018555e+12	5.344417709702105469e+12	4.998669805069379883e+12	4.143461941452352051e+12	4.027973805466902832e+12	3.675319666377184570e+12	3.207724231483193848e+12	2.986942682685000000e+12	2.656649701533368652e+12	2.375020540347060547e+12	2.397457765967401855e+12	1.627708984631743896e+12	1.557531669644702393e+12	1.548514341735310059e+12	1.763082674786245850e+12	1.759103775128432129e+12	1.637198886894401611e+12	1.322047073539749512e+12	1.153412803156324951e+12	7.791541521045915527e+11	7.622276940113729248e+11	6.829923645659746094e+11	6.743178380858653564e+11	6.436468460412786865e+11	7.391562881169367676e+11	4.537072372663376465e+11	4.120167508493392334e+11	3.815101919212190552e+11	3.143157611419971924e+11	1.274127765623353271e+11	4.295821626999283600e+10	1.510043747309014702e+10	2.679650451170137405e+09	2.166025077391292572e+09	8.335395449765160084e+08	7.484253136262685061e+08	1.888825162985027209e+07	1.408184063217016403e+06
2.200000000000000000e+04	6.500000000000000000e+00	0.000000000000000000e+00	8.198916612847153125e+13	2.636823409038499219e+13	7.668258369494579102e+12	7.399344732107478516e+12	7.094836923866955078e+12	6.698927527183098633e+12	5.974565548052821289e+12	5.754232758001681641e+12	5.317264069864392578e+12	4.979759679193396484e+12	4.159427421358039062e+12	4.024821890272127930e+12	3.677468298968788086e+12	3.213657638478666992e+12	2.988606844111387207e+12	2.663405116419796875e+12	2.386003882858022461e+12	2.407569353080595703e+12	1.633144679724159668e+12	1.562011255756547607e+12	1.553227090719824707e+12	1.766403801513462402e+12	1.763429074101361572e+12	1.639595853205949707e+12	1.326043649085124023e+12	1.157283712916090576e+12	7.816618584748236084e+11	7.646662382307288818e+11	6.850949276190223389e+11	6.757277516935280762e+11	6.455874968282982178e+11	7.409456043223395996e+11	4.549090467797601929e+11	4.128480476139175415e+11	3.821540722593515015e+11	3.141755330804037476e+11	1.275678510520117645e+11	4.303152055798232269e+10	1.511464979124838257e+10	2.683525376537757397e+09	2.169157259755800247e+09	8.347449035203486681e+08	7.495075992277511358e+08	1.891556511152630299e+07	1.410220376915076515e+06
2.400000000000000000e+04	4.500000000000000000e+00	0.000000000000000000e+00	1.055120204228183281e+14	3.371400368548918750e+13	9.407887930504410156e+12	9.089812549253994141e+12	8.825508262784578125e+12	8.434960194992878906e+12	7.790247787186031250e+12	7.128374591509985352e+12	6.535280707478391602e+12	6.066554559512185547e+12	4.746828211437868164e+12	4.734863612287260742e+12	4.279335132516275879e+12	3.704228608929017578e+12	3.496796838087582520e+12	3.048059106190159668e+12	2.690882780564159668e+12	2.722752556978178223e+12	1.846010328787247803e+12	1.768760636340696289e+12	1.757106177270407227e+12	2.022699066265125732e+12	2.012119874802900391e+12	1.887552044715875000e+12	1.497234458542720459e+12	1.303688855761369873e+12	8.743790654697824707e+11	8.552124967995034180e+11	7.658467271503405762e+11	7.609818078914702148e+11	7.214049580459476318e+11	8.345114878434997559e+11	5.094247902048023071e+11	4.632260541958364868e+11	4.293864499859829102e+11	3.557595454335892334e+11	1.410046249102732849e+11	4.728594678714051819e+10	1.657759681179451561e+10	2.934154309717916965e+09	2.371741121215499401e+09	9.127061424050756693e+08	8.195074742420707941e+08	2.068213473825487494e+07	1.541928707044746494e+06
2.400000000000000000e+04	4.750000000000000000e+00	0.000000000000000000e+00	1.060832599698419688e+14	3.365538475046314453e+13	9.375314422051962891e+12	9.052872266559701172e+12	8.770783795814142578e+12	8.368510835749660156e+12	7.692161686176862305e+12	7.092477703046500977e+12	6.499263612785291016e+12	6.036150261902911133e+12	4.747858334760687500e+12	4.725135867190354492e+12	4.273446937644225098e+12	3.700734143154709961e+12	3.489242739953778809e+12	3.045441070435826660e+12	2.690725042401735840e+12	2.722239988171304199e+12	1.844709686757114014e+12	1.767096229703761475e+12	1.755595703616456543e+12	2.020456015200707520e+12	2.010244326198573486e+12	1.884573009072001465e+12	1.495900148171829590e+12	1.302691074061853760e+12	8.736507364299050293e+11	8.544947928584943848e+11	7.650914811432952881e+11	7.597397823656320801e+11	7.206594843494615479e+11	8.333101686014019775e+11	5.081750360665083008e+11	4.619930657627102051e+11	4.281189135094311523e+11	3.545554759756327515e+11	1.407505861926946106e+11	4.716995157160376740e+10	1.653706143461992264e+10	2.926070590003373623e+09	2.365206839490084171e+09	9.101916041880216599e+08	8.172496977084213495e+08	2.062515447035053745e+07	1.537680620530279120e+06
