# Teff	logg	[Fe/H]	GALEX_FUV	GALEX_NUV	STROMGREN_u	SkyMapper_u	SDSS_u	GROUND_JOHNSON_U	SkyMapper_v	STROMGREN_v	TYCHO_B_MvB	GROUND_JOHNSON_B	STROMGREN_b	SDSS_g	PS1_g	SkyMapper_g	GaiaDR2v2_BP	TYCHO_V_MvB	STROMGREN_y	GROUND_JOHNSON_V	SkyMapper_r	SDSS_r	PS1_r	PS1_w	KEPLER_Kp	GaiaDR2v2_G	GROUND_COUSINS_R	NGTS_I	SDSS_i	PS1_i	SkyMapper_i	GaiaDR2v2_RP	GROUND_COUSINS_I	TESS	PS1_z	SDSS_z	SkyMapper_z	PS1_y	2MASS_J	2MASS_H	2MASS_Ks	WISE_RSR_W1	SPITZER_IRAC_36	SPITZER_IRAC_45	WISE_RSR_W2
5.000000000000000000e+03	9.000000000000000000e+00	0.000000000000000000e+00	1.082464140397943789e+06	2.930896379944915771e+08	1.051949391915823936e+10	1.158199493327582741e+10	1.314067550709547615e+10	1.523355090411834908e+10	1.965544504227210236e+10	2.648967311093051910e+10	2.873415411928445435e+10	3.059889695068204498e+10	3.736953367111499023e+10	3.634539803652738190e+10	3.781089257673603058e+10	3.912669187260558319e+10	3.782102767508237457e+10	4.068375769889037323e+10	4.161451875626103973e+10	4.121842087967532349e+10	4.035626491698727417e+10	4.049611512606967926e+10	4.032667150952982330e+10	3.759625769732915497e+10	3.755743880409006500e+10	3.574982431245159149e+10	3.899036977266516876e+10	3.646196816510198975e+10	3.483980756273229218e+10	3.459655133752938080e+10	3.336499444156610107e+10	3.222718895388564301e+10	3.271844320807146835e+10	3.226555012757090378e+10	2.861581533044688797e+10	2.726176627706723404e+10	2.630456447036264038e+10	2.403371923452825165e+10	1.441627122787825584e+10	7.394258224093326569e+09	3.130193033158579350e+09	2.866681715860099196e+08	1.717322863682402968e+08	7.384249419125087559e+07	6.650733259331578016e+07
5.000000000000000000e+03	9.250000000000000000e+00	0.000000000000000000e+00	9.826319461197183700e+05	2.681868569060837030e+08	1.016248651562829781e+10	1.120446127831513977e+10	1.274531667005390930e+10	1.481380572927357864e+10	1.918786104106153107e+10	2.606879359974591827e+10	2.839561657122544098e+10	3.033007867754611969e+10	3.729241639649010468e+10	3.624689998250592804e+10	3.776575731681382751e+10	3.913807490083309937e+10	3.783648029341011047e+10	4.077131875323330688e+10	4.173163288053973389e+10	4.132990861846697998e+10	4.050793828659078217e+10	4.065740368016656494e+10	4.048435216869330597e+10	3.769324735904907227e+10	3.765854640624250793e+10	3.583708403558567047e+10	3.914182103411446381e+10	3.659616507007848358e+10	3.496687519684133911e+10	3.472242022271785736e+10	3.348488895880025101e+10	3.234630847515948868e+10	3.283517247144075394e+10	3.238280360246316147e+10	2.871103748110990143e+10	2.735008982137435532e+10	2.638798248983975983e+10	2.410558279047644806e+10	1.444046492675727272e+10	7.379388914550324440e+09	3.126169612351667881e+09	2.866229226582167745e+08	1.717322624172298014e+08	7.384249419125087559e+07	6.650733259331578016e+07
5.000000000000000000e+03	9.500000000000000000e+00	0.000000000000000000e+00	8.772355209123492241e+05	2.440362838545639515e+08	9.837034985674421310e+09	1.086193787268185043e+10	1.238041278784958458e+10	1.442225190826475716e+10	1.875259793661639786e+10	2.565146785654384613e+10	2.805229199610183334e+10	3.004838119166860199e+10	3.719268179496802521e+10	3.613394649802932739e+10	3.770672624875365448e+10	3.913785662423367310e+10	3.784222754466962433e+10	4.085136741418949890e+10	4.184536806409724426e+10	4.143794617002712250e+10	4.066161650705915833e+10	4.082025137713459778e+10	4.064436896238912201e+10	3.779021958260536957e+10	3.775880492801641846e+10	3.592517040058534241e+10	3.929740812860710907e+10	3.673016559117765045e+10	3.510081709199221802e+10	3.485488706649990082e+10	3.361093082785783768e+10	3.247004864849565506e+10	3.295781368234384155e+10	3.250491434579047775e+10	2.881129733175056458e+10	2.744301091741520309e+10	2.647570835035238266e+10	2.418101783498833847e+10	1.446415215360184097e+10	7.359729916250777245e+09	3.120494439944499016e+09	2.865359802741326690e+08	1.717322118926224411e+08	7.384249419125087559e+07	6.650733259331578016e+07
5.250000000000000000e+03	6.500000000000000000e+00	0.000000000000000000e+00	3.544043376029490028e+06	1.371940490285405636e+09	2.722150845111137772e+10	2.859453676145246124e+10	3.040734687436244583e+10	3.291801237696962357e+10	3.792244231190597534e+10	4.344277593785879517e+10	4.461916945458445740e+10	4.567816253983256531e+10	5.008382770510447693e+10	4.920584235864149475e+10	4.996394555761045074e+10	5.037152272399990845e+10	4.862982280292733002e+10	5.088758796561739349e+10	5.143809715753755188e+10	5.099259022351730347e+10	4.840288300199157715e+10	4.837763898550166321e+10	4.817522056493942261e+10	4.555559112912061310e+10	4.544376907478558350e+10	4.318565636189266968e+10	4.616846185774087524e+10	4.289969148783699036e+10	4.023832911587798309e+10	3.992408317916138458e+10	3.833373123824577332e+10	3.700858348678471375e+10	3.750504389524451447e+10	3.721945723111272430e+10	3.241286179177588654e+10	3.079647489214745331e+10	2.964292843606529236e+10	2.696291768915902328e+10	1.608625461014977455e+10	8.213445813452594757e+09	3.413712725077160835e+09	3.077093100199582577e+08	1.843560510260649621e+08	7.887215916587844491e+07	7.100282268058535457e+07
5.250000000000000000e+03	6.750000000000000000e+00	0.000000000000000000e+00	3.603040095984738786e+06	1.241604610891763687e+09	2.632685145441368866e+10	2.776024604622777557e+10	2.965165754152336502e+10	3.225895393241353226e+10	3.746418941531050873e+10	4.327054230138608551e+10	4.450505992228142548e+10	4.562234870219235992e+10	5.022247490243923950e+10	4.932134880325298309e+10	5.012339895312342834e+10	5.057400347249224091e+10	4.879394230401473236e+10	5.113338667057431030e+10	5.171412387209788513e+10	5.126050289007487488e+10	4.865533412911869812e+10	4.864792650018138885e+10	4.846131828278371429e+10	4.572855339054627228e+10	4.567585495833933258e+10	4.339455016762897491e+10	4.643030517636499023e+10	4.313796220079292297e+10	4.046224831477459717e+10	4.014089303224183655e+10	3.855670447657513428e+10	3.721163145587750244e+10	3.771637424834136963e+10	3.742326760706400299e+10	3.259070642406185150e+10	3.095753807136287308e+10	2.979676742737184906e+10	2.709532538896082687e+10	1.608910171299765587e+10	8.195682628244831085e+09	3.405547832237445831e+09	3.076545138378914595e+08	1.843560236571353078e+08	7.887215916587844491e+07	7.100282268058535457e+07
5.250000000000000000e+03	7.000000000000000000e+00	0.000000000000000000e+00	3.650265696648892015e+06	1.142167418893115759e+09	2.535516523128251648e+10	2.682418388447678375e+10	2.878135205944900894e+10	3.147204746802856445e+10	3.686915191022283173e+10	4.301174834199592590e+10	4.432800708086097717e+10	4.550698903411422729e+10	5.036370202262043762e+10	4.941811294804554749e+10	5.026958540464929962e+10	5.076703109521878052e+10	4.894549317977063751e+10	5.137604233892445374e+10	5.198154033131886292e+10	5.152120427124095154e+10	4.891224321266033173e+10	4.890096472274136353e+10	4.871788688469781494e+10	4.594736527145838165e+10	4.589997911217974854e+10	4.359254309666781616e+10	4.668044993480333710e+10	4.337017226115404510e+10	4.069555394857907104e+10	4.036687917099893951e+10	3.877147036078935242e+10	3.740878489724434662e+10	3.792512601726197815e+10	3.762140997296839142e+10	3.276100758628499222e+10	3.111506184175351715e+10	2.994540249015891647e+10	2.720902380394078064e+10	1.616876686128172874e+10	8.179785701923710823e+09	3.403051982564840317e+09	3.076416779952366948e+08	1.843560217726804912e+08	7.887215916587844491e+07	7.100282268058535457e+07
5.250000000000000000e+03	7.250000000000000000e+00	0.000000000000000000e+00	3.680890762090951670e+06	1.062013926384620786e+09	2.430591372496773148e+10	2.581384409286704254e+10	2.784024853913377380e+10	3.060837811112628555e+10	3.619751838283401489e+10	4.269762787392160034e+10	4.410762220339558411e+10	4.535183803538370514e+10	5.050811183219094086e+10	4.950768844628453064e+10	5.041269850953022766e+10	5.095800467967599487e+10	4.906649407998748779e+10	5.161686587461769867e+10	5.224286824493046570e+10	5.177615099367796326e+10	4.915672796861952209e+10	4.914424500119499969e+10	4.895938784428409576e+10	4.615867975349949646e+10	4.611229258812136078e+10	4.377612556269229126e+10	4.691586060213916779e+10	4.358926613299691772e+10	4.089956252937398529e+10	4.057389414941032410e+10	3.896767946184045410e+10	3.758962112312649536e+10	3.811551081254981995e+10	3.780415500757968903e+10	3.291537108114379120e+10	3.125798833391933823e+10	3.008650652040188217e+10	2.732478510868025970e+10	1.613877459311103439e+10	8.171481745775544167e+09	3.403212348266026020e+09	3.076705331002145410e+08	1.843560445790996850e+08	7.887215916587844491e+07	7.100282268058535457e+07
5.250000000000000000e+03	7.500000000000000000e+00	0.000000000000000000e+00	3.690879496006808709e+06	9.922645087820553780e+08	2.329687427087238312e+10	2.483046428058805084e+10	2.691241081833629990e+10	2.974129326900209045e+10	3.548961412264233398e+10	4.234392287142580414e+10	4.385863051885213470e+10	4.518138811595581818e+10	5.064032695042366028e+10	4.958087868969703674e+10	5.054112296367623138e+10	5.113506293227189636e+10	4.918756414711149597e+10	5.184666316079088593e+10	5.248934218179367828e+10	5.201672497341004944e+10	4.937309501848729706e+10	4.936898288995162201e+10	4.916771582579681396e+10	4.634821327189599609e+10	4.630908627577420044e+10	4.394343464121126556e+10	4.713452369141529846e+10	4.378885217674504852e+10	4.109464473691918945e+10	4.077305411483127594e+10	3.914642159860838318e+10	3.775577738715988922e+10	3.829041750593933105e+10	3.797087372040982056e+10	3.305083706946773911e+10	3.138716570714440155e+10	3.020968438244408035e+10	2.742902796186047363e+10	1.617449555530716324e+10	8.173565824491353989e+09	3.402711343953132629e+09	3.077212773330483437e+08	1.843560803678096831e+08	7.887215916587844491e+07	7.100282268058535457e+07
5.250000000000000000e+03	7.750000000000000000e+00	0.000000000000000000e+00	3.677790529543781187e+06	9.304329154759249687e+08	2.236672473002175903e+10	2.391719127030382919e+10	2.603828835957330322e+10	2.891201588743367004e+10	3.477580678208827972e+10	4.195817707494460297e+10	4.358314140859190369e+10	4.498481281221414948e+10	5.075063977585818481e+10	4.963275132024691010e+10	5.064895784667412567e+10	5.129181744095506287e+10	4.928386664687663269e+10	5.205894570252336121e+10	5.271508293052696991e+10	5.223716315964926910e+10	4.960359234763861084e+10	4.958225939699906921e+10	4.937977919554396820e+10	4.652869797691666412e+10	4.648845058071415710e+10	4.409393500983277130e+10	4.733620248255120087e+10	4.396918773333740997e+10	4.127154891290828705e+10	4.094195250246099091e+10	3.930588823471652985e+10	3.790594549600038147e+10	3.844492187973198700e+10	3.812231641990821838e+10	3.317530469256851196e+10	3.150237799580248260e+10	3.031834915208287048e+10	2.752216751568921661e+10	1.620103086838971329e+10	8.171681798230476379e+09	3.402897727417737007e+09	3.077821798693086505e+08	1.843561222758115828e+08	7.887215916587844491e+07	7.100282268058535457e+07
5.250000000000000000e+03	8.000000000000000000e+00	0.000000000000000000e+00	3.640175065080520231e+06	8.755487363550022840e+08	2.153100984115106201e+10	2.308576893033349228e+10	2.522899292302985382e+10	2.812915385727459717e+10	3.407822504087111664e+10	4.154832793481475830e+10	4.328624380588566589e+10	4.477174916748807526e+10	5.083530546039803314e+10	4.966183749410795593e+10	5.073447190779032135e+10	5.142698305815547943e+10	4.936853875586104584e+10	5.225312317879178619e+10	5.292105979826393127e+10	5.243827637958420563e+10	4.979827069686636353e+10	4.978919385666236877e+10	4.960049679671358490e+10	4.666976387589656067e+10	4.665384899697005463e+10	4.423174991426093292e+10	4.752740858625875092e+10	4.414059187219882965e+10	4.141698047136663055e+10	4.108571651140150452e+10	3.945146847605120850e+10	3.804581149813757324e+10	3.858427130163491058e+10	3.826400904802381897e+10	3.329308454045426178e+10	3.160736332323397827e+10	3.041604493635126114e+10	2.760700627105816269e+10	1.619297178014523125e+10	8.172526695120383263e+09	3.403075307258100986e+09	3.078430556030374765e+08	1.843561639909089208e+08	7.887215916587844491e+07	7.100282268058535457e+07
